name,time,application,num_replicas,batch_size
cifar10-0,505,cifar10,16,4096
bert-1,812,bert,6,384
ncf-2,916,ncf,1,32768
cifar10-3,1397,cifar10,16,4096
cifar10-4,1728,cifar10,6,2048
cifar10-5,1908,cifar10,16,4096
bert-6,2126,bert,12,384
cifar10-7,2285,cifar10,16,4096
cifar10-8,2440,cifar10,16,4096
deepspeech2-9,2931,deepspeech2,6,320
cifar10-10,4081,cifar10,16,4096
cifar10-11,4317,cifar10,6,2048
ncf-12,4353,ncf,1,32768
cifar10-13,5207,cifar10,8,2048
ncf-14,5627,ncf,1,32768
ncf-15,6014,ncf,1,32768
yolov3-16,6114,yolov3,4,64
ncf-17,6963,ncf,1,32768
ncf-18,7392,ncf,1,32768
yolov3-19,7516,yolov3,4,64
cifar10-20,7899,cifar10,8,2048
cifar10-21,7933,cifar10,6,2048
cifar10-22,8387,cifar10,12,4096
ncf-23,10529,ncf,1,32768
cifar10-24,10599,cifar10,8,2048
ncf-25,11695,ncf,1,32768
cifar10-26,12239,cifar10,12,4096
cifar10-27,12942,cifar10,8,2048
ncf-28,13486,ncf,1,32768
bert-29,13740,bert,8,384
cifar10-30,13807,cifar10,6,2048
imagenet-31,13924,imagenet,32,6400
ncf-32,14242,ncf,1,32768
ncf-33,14973,ncf,1,32768
cifar10-34,15226,cifar10,16,4096
ncf-35,15357,ncf,1,32768
yolov3-36,15814,yolov3,4,64
bert-37,15876,bert,16,384
ncf-38,16151,ncf,1,32768
deepspeech2-39,16303,deepspeech2,12,640
bert-40,17174,bert,16,384
cifar10-41,17263,cifar10,6,2048
cifar10-42,17517,cifar10,8,2048
ncf-43,17587,ncf,1,32768
cifar10-44,17677,cifar10,6,2048
imagenet-45,17991,imagenet,48,6400
cifar10-46,18132,cifar10,6,2048
cifar10-47,18159,cifar10,6,2048
ncf-48,18288,ncf,1,32768
yolov3-49,18343,yolov3,4,64
cifar10-50,18914,cifar10,6,2048
deepspeech2-51,19063,deepspeech2,12,640
bert-52,19212,bert,8,384
cifar10-53,19414,cifar10,12,4096
cifar10-54,19697,cifar10,8,2048
ncf-55,19775,ncf,1,32768
ncf-56,19999,ncf,1,32768
cifar10-57,20163,cifar10,8,2048
ncf-58,20466,ncf,1,32768
ncf-59,20519,ncf,1,32768
ncf-60,20519,ncf,1,32768
ncf-61,20766,ncf,1,32768
deepspeech2-62,20926,deepspeech2,6,320
ncf-63,21365,ncf,1,32768
ncf-64,22034,ncf,1,32768
cifar10-65,22084,cifar10,12,4096
deepspeech2-66,22152,deepspeech2,8,320
yolov3-67,23886,yolov3,4,64
cifar10-68,24504,cifar10,6,2048
ncf-69,24663,ncf,1,32768
yolov3-70,24663,yolov3,4,64
cifar10-71,24677,cifar10,16,4096
cifar10-72,25116,cifar10,6,2048
ncf-73,25626,ncf,1,32768
cifar10-74,25749,cifar10,12,4096
cifar10-75,25857,cifar10,12,4096
deepspeech2-76,25884,deepspeech2,8,320
imagenet-77,25903,imagenet,48,6400
cifar10-78,26269,cifar10,8,2048
ncf-79,28775,ncf,1,32768
