name,time,application,num_replicas,batch_size
bert-0,259,bert,6,384
cifar10-1,447,cifar10,16,4096
deepspeech2-2,543,deepspeech2,8,320
cifar10-3,1314,cifar10,16,4096
ncf-4,1543,ncf,1,32768
cifar10-5,2353,cifar10,16,4096
cifar10-6,3087,cifar10,12,4096
cifar10-7,3131,cifar10,8,2048
cifar10-8,3178,cifar10,12,4096
cifar10-9,4501,cifar10,6,2048
ncf-10,4815,ncf,1,32768
cifar10-11,5334,cifar10,12,4096
ncf-12,5515,ncf,1,32768
ncf-13,5729,ncf,1,32768
cifar10-14,5801,cifar10,6,2048
ncf-15,6029,ncf,1,32768
ncf-16,6296,ncf,1,32768
cifar10-17,6784,cifar10,6,2048
cifar10-18,7062,cifar10,8,2048
imagenet-19,7161,imagenet,32,6400
cifar10-20,7922,cifar10,12,4096
bert-21,8293,bert,16,384
ncf-22,8916,ncf,1,32768
cifar10-23,9152,cifar10,12,4096
ncf-24,10916,ncf,1,32768
ncf-25,11354,ncf,1,32768
deepspeech2-26,11769,deepspeech2,8,320
ncf-27,12180,ncf,1,32768
bert-28,12291,bert,6,384
ncf-29,13354,ncf,1,32768
cifar10-30,13468,cifar10,8,2048
ncf-31,13568,ncf,1,32768
cifar10-32,14156,cifar10,6,2048
cifar10-33,14228,cifar10,12,4096
ncf-34,14372,ncf,1,32768
ncf-35,14426,ncf,1,32768
cifar10-36,14459,cifar10,16,4096
ncf-37,14855,ncf,1,32768
ncf-38,15799,ncf,1,32768
ncf-39,16346,ncf,1,32768
ncf-40,17026,ncf,1,32768
ncf-41,17035,ncf,1,32768
bert-42,17758,bert,8,384
ncf-43,17801,ncf,1,32768
ncf-44,18105,ncf,1,32768
bert-45,18618,bert,6,384
ncf-46,18719,ncf,1,32768
cifar10-47,18810,cifar10,16,4096
ncf-48,18870,ncf,1,32768
cifar10-49,18942,cifar10,12,4096
ncf-50,19029,ncf,1,32768
ncf-51,19160,ncf,1,32768
deepspeech2-52,19267,deepspeech2,8,320
ncf-53,19698,ncf,1,32768
cifar10-54,19887,cifar10,12,4096
cifar10-55,19946,cifar10,6,2048
cifar10-56,20613,cifar10,12,4096
cifar10-57,20712,cifar10,6,2048
cifar10-58,21193,cifar10,8,2048
deepspeech2-59,21758,deepspeech2,8,320
cifar10-60,22122,cifar10,12,4096
deepspeech2-61,22288,deepspeech2,12,640
ncf-62,22535,ncf,1,32768
yolov3-63,22647,yolov3,4,64
ncf-64,23332,ncf,1,32768
yolov3-65,23498,yolov3,4,64
ncf-66,23660,ncf,1,32768
ncf-67,24816,ncf,1,32768
ncf-68,25054,ncf,1,32768
deepspeech2-69,25145,deepspeech2,6,320
ncf-70,25254,ncf,1,32768
cifar10-71,25750,cifar10,12,4096
ncf-72,25915,ncf,1,32768
ncf-73,26525,ncf,1,32768
deepspeech2-74,26599,deepspeech2,8,320
yolov3-75,26756,yolov3,4,64
deepspeech2-76,27019,deepspeech2,8,320
yolov3-77,27077,yolov3,4,64
cifar10-78,27403,cifar10,12,4096
cifar10-79,27731,cifar10,8,2048
