name,time,application,num_replicas,batch_size
cifar10-0,16,cifar10,12,4096
yolov3-1,167,yolov3,4,64
cifar10-2,181,cifar10,12,4096
ncf-3,1286,ncf,1,32768
cifar10-4,1433,cifar10,6,2048
ncf-5,1812,ncf,1,32768
ncf-6,2070,ncf,1,32768
cifar10-7,2590,cifar10,8,2048
cifar10-8,4170,cifar10,16,4096
cifar10-9,4199,cifar10,8,2048
cifar10-10,4263,cifar10,6,2048
ncf-11,4292,ncf,1,32768
cifar10-12,4384,cifar10,8,2048
ncf-13,4404,ncf,1,32768
ncf-14,4646,ncf,1,32768
ncf-15,4892,ncf,1,32768
cifar10-16,4930,cifar10,16,4096
yolov3-17,5169,yolov3,4,64
cifar10-18,5202,cifar10,6,2048
cifar10-19,5533,cifar10,8,2048
deepspeech2-20,5892,deepspeech2,6,320
bert-21,7152,bert,8,384
cifar10-22,7271,cifar10,8,2048
cifar10-23,7713,cifar10,6,2048
cifar10-24,8526,cifar10,6,2048
cifar10-25,8943,cifar10,6,2048
ncf-26,9303,ncf,1,32768
ncf-27,10158,ncf,1,32768
ncf-28,10333,ncf,1,32768
yolov3-29,10408,yolov3,4,64
bert-30,10465,bert,16,384
ncf-31,11061,ncf,1,32768
cifar10-32,12543,cifar10,12,4096
ncf-33,12732,ncf,1,32768
deepspeech2-34,12849,deepspeech2,6,320
cifar10-35,14230,cifar10,6,2048
cifar10-36,14812,cifar10,16,4096
cifar10-37,15016,cifar10,16,4096
ncf-38,15674,ncf,1,32768
ncf-39,15814,ncf,1,32768
ncf-40,15890,ncf,1,32768
cifar10-41,15914,cifar10,8,2048
cifar10-42,16149,cifar10,16,4096
ncf-43,16247,ncf,1,32768
bert-44,16918,bert,16,384
ncf-45,17409,ncf,1,32768
ncf-46,17532,ncf,1,32768
deepspeech2-47,17535,deepspeech2,8,320
deepspeech2-48,17977,deepspeech2,6,320
bert-49,18008,bert,6,384
ncf-50,18435,ncf,1,32768
cifar10-51,18721,cifar10,6,2048
cifar10-52,18753,cifar10,12,4096
deepspeech2-53,18773,deepspeech2,8,320
ncf-54,19206,ncf,1,32768
ncf-55,19380,ncf,1,32768
cifar10-56,19550,cifar10,12,4096
cifar10-57,19626,cifar10,16,4096
bert-58,19991,bert,6,384
ncf-59,20057,ncf,1,32768
deepspeech2-60,20143,deepspeech2,6,320
ncf-61,20299,ncf,1,32768
cifar10-62,20342,cifar10,8,2048
deepspeech2-63,20386,deepspeech2,12,640
ncf-64,20645,ncf,1,32768
ncf-65,21667,ncf,1,32768
ncf-66,21719,ncf,1,32768
ncf-67,22191,ncf,1,32768
cifar10-68,22555,cifar10,12,4096
ncf-69,22932,ncf,1,32768
bert-70,23424,bert,16,384
ncf-71,24300,ncf,1,32768
deepspeech2-72,24524,deepspeech2,6,320
ncf-73,24932,ncf,1,32768
cifar10-74,25866,cifar10,12,4096
ncf-75,26311,ncf,1,32768
ncf-76,26639,ncf,1,32768
ncf-77,27101,ncf,1,32768
cifar10-78,27286,cifar10,16,4096
ncf-79,27759,ncf,1,32768
