name,time,application,num_replicas,batch_size
cifar10-0,1151,cifar10,12,4096
ncf-1,1437,ncf,1,32768
ncf-2,1753,ncf,1,32768
cifar10-3,1937,cifar10,16,4096
ncf-4,1955,ncf,1,32768
ncf-5,3114,ncf,1,32768
cifar10-6,3143,cifar10,6,2048
ncf-7,3789,ncf,1,32768
ncf-8,4232,ncf,1,32768
ncf-9,4252,ncf,1,32768
ncf-10,4305,ncf,1,32768
cifar10-11,4993,cifar10,8,2048
ncf-12,5125,ncf,1,32768
cifar10-13,5533,cifar10,12,4096
cifar10-14,5693,cifar10,6,2048
cifar10-15,6029,cifar10,12,4096
ncf-16,6117,ncf,1,32768
deepspeech2-17,6570,deepspeech2,8,320
ncf-18,6732,ncf,1,32768
ncf-19,7331,ncf,1,32768
ncf-20,7736,ncf,1,32768
ncf-21,9115,ncf,1,32768
ncf-22,10315,ncf,1,32768
cifar10-23,10917,cifar10,8,2048
ncf-24,11281,ncf,1,32768
yolov3-25,11554,yolov3,4,64
cifar10-26,12117,cifar10,12,4096
ncf-27,13071,ncf,1,32768
ncf-28,13118,ncf,1,32768
ncf-29,13458,ncf,1,32768
ncf-30,13497,ncf,1,32768
ncf-31,13632,ncf,1,32768
ncf-32,14515,ncf,1,32768
bert-33,14711,bert,6,384
cifar10-34,14926,cifar10,6,2048
bert-35,17166,bert,12,384
ncf-36,17552,ncf,1,32768
ncf-37,17804,ncf,1,32768
deepspeech2-38,17968,deepspeech2,12,640
cifar10-39,18116,cifar10,12,4096
bert-40,18180,bert,12,384
bert-41,18922,bert,6,384
deepspeech2-42,18929,deepspeech2,12,640
bert-43,19037,bert,12,384
deepspeech2-44,19298,deepspeech2,12,640
deepspeech2-45,19448,deepspeech2,12,640
cifar10-46,19594,cifar10,8,2048
ncf-47,19847,ncf,1,32768
yolov3-48,20545,yolov3,4,64
ncf-49,20873,ncf,1,32768
yolov3-50,21071,yolov3,4,64
cifar10-51,21206,cifar10,8,2048
ncf-52,21208,ncf,1,32768
cifar10-53,21667,cifar10,8,2048
bert-54,21723,bert,16,384
cifar10-55,21920,cifar10,16,4096
ncf-56,22012,ncf,1,32768
cifar10-57,22932,cifar10,6,2048
cifar10-58,23816,cifar10,8,2048
ncf-59,23882,ncf,1,32768
ncf-60,24435,ncf,1,32768
cifar10-61,24732,cifar10,6,2048
ncf-62,24803,ncf,1,32768
ncf-63,24808,ncf,1,32768
cifar10-64,25188,cifar10,6,2048
ncf-65,25683,ncf,1,32768
cifar10-66,25748,cifar10,8,2048
deepspeech2-67,25856,deepspeech2,6,320
yolov3-68,25896,yolov3,4,64
yolov3-69,25960,yolov3,4,64
ncf-70,26037,ncf,1,32768
deepspeech2-71,26188,deepspeech2,12,640
bert-72,26311,bert,6,384
yolov3-73,26322,yolov3,4,64
bert-74,26381,bert,16,384
ncf-75,26406,ncf,1,32768
ncf-76,26436,ncf,1,32768
cifar10-77,27115,cifar10,6,2048
ncf-78,28335,ncf,1,32768
ncf-79,28388,ncf,1,32768
