timestamp,duration,num_gpus,gpu_time,cluster
2017-10-09 07:01:55,66.0,1,66.0,11cb48
2017-10-09 06:13:03,2951.0,1,2951.0,6214e9
2017-09-29 07:58:32,860662.0,1,860662.0,6c71a0
2017-10-09 06:13:36,2759.0,1,2759.0,6214e9
2017-10-09 06:16:03,2766.0,1,2766.0,6214e9
2017-10-09 06:14:53,2775.0,1,2775.0,6214e9
2017-10-09 06:15:13,2802.0,1,2802.0,6214e9
2017-10-09 07:00:41,64.0,1,64.0,11cb48
2017-10-09 06:00:52,2859.0,1,2859.0,6214e9
2017-10-09 06:11:13,2987.0,1,2987.0,6214e9
2017-10-09 06:15:00,2679.0,1,2679.0,6214e9
2017-10-09 04:44:14,7944.0,1,7944.0,6214e9
2017-10-09 06:09:32,2793.0,1,2793.0,6214e9
2017-10-09 06:10:54,2695.0,1,2695.0,6214e9
2017-10-09 06:08:42,2816.0,1,2816.0,6214e9
2017-10-09 06:56:58,87.0,1,87.0,11cb48
2017-10-09 06:12:14,2734.0,1,2734.0,6214e9
2017-10-09 06:10:08,2730.0,1,2730.0,6214e9
2017-10-09 06:56:11,86.0,1,86.0,11cb48
2017-10-09 06:11:24,2763.0,1,2763.0,6214e9
2017-10-09 06:12:50,2670.0,1,2670.0,6214e9
2017-10-09 06:07:00,2944.0,1,2944.0,6214e9
2017-10-09 06:04:51,2930.0,1,2930.0,6214e9
2017-10-09 06:12:19,2658.0,1,2658.0,6214e9
2017-10-09 06:10:29,2768.0,1,2768.0,6214e9
2017-10-09 06:10:18,2749.0,1,2749.0,6214e9
2017-10-09 06:08:26,2740.0,1,2740.0,6214e9
2017-10-09 05:09:44,6192.0,1,6192.0,6214e9
2017-10-09 06:07:58,2877.0,1,2877.0,6214e9
2017-10-09 06:07:55,2872.0,1,2872.0,6214e9
2017-10-09 06:05:18,2739.0,1,2739.0,6214e9
2017-10-09 06:07:19,2825.0,1,2825.0,6214e9
2017-10-09 06:00:22,2884.0,1,2884.0,6214e9
2017-10-09 05:56:25,2704.0,1,2704.0,6214e9
2017-10-09 06:07:06,2879.0,1,2879.0,6214e9
2017-10-09 06:05:30,2964.0,1,2964.0,6214e9
2017-10-09 05:08:04,6189.0,1,6189.0,6214e9
2017-10-09 04:42:40,7772.0,1,7772.0,6214e9
2017-10-09 06:03:19,3052.0,1,3052.0,6214e9
2017-10-09 06:06:12,2867.0,1,2867.0,6214e9
2017-10-09 06:07:44,2783.0,1,2783.0,6214e9
2017-10-09 06:02:25,2920.0,1,2920.0,6214e9
2017-10-09 06:03:21,3044.0,1,3044.0,6214e9
2017-10-09 06:03:05,2869.0,1,2869.0,6214e9
2017-10-09 06:06:07,2681.0,1,2681.0,6214e9
2017-10-09 06:03:43,2929.0,1,2929.0,6214e9
2017-10-09 05:58:17,2863.0,1,2863.0,6214e9
2017-10-09 06:09:16,2646.0,1,2646.0,6214e9
2017-10-09 06:06:43,2796.0,1,2796.0,6214e9
2017-10-09 05:57:33,2912.0,1,2912.0,6214e9
2017-10-09 06:51:55,70.0,1,70.0,11cb48
2017-10-09 06:02:33,2755.0,1,2755.0,6214e9
2017-10-09 06:02:31,2920.0,1,2920.0,6214e9
2017-10-07 01:11:39,193256.0,8,1546048.0,ee9e8c
2017-10-09 06:01:01,2859.0,1,2859.0,6214e9
2017-10-09 06:04:15,2784.0,1,2784.0,6214e9
2017-10-09 06:06:40,2736.0,1,2736.0,6214e9
2017-10-09 06:04:14,2734.0,1,2734.0,6214e9
2017-10-09 06:05:39,2770.0,1,2770.0,6214e9
2017-10-09 06:01:58,2866.0,1,2866.0,6214e9
2017-10-09 05:11:42,5811.0,1,5811.0,6214e9
2017-10-09 06:01:56,2900.0,1,2900.0,6214e9
2017-10-09 06:04:44,2782.0,1,2782.0,6214e9
2017-10-09 05:58:11,2765.0,1,2765.0,6214e9
2017-10-09 06:01:37,2875.0,1,2875.0,6214e9
