name,time,application,num_replicas,batch_size
bert-0,158,bert,12,384
ncf-1,715,ncf,1,32768
cifar10-2,718,cifar10,12,4096
ncf-3,788,ncf,1,32768
ncf-4,791,ncf,1,32768
yolov3-5,1075,yolov3,4,64
cifar10-6,1151,cifar10,12,4096
cifar10-7,1315,cifar10,12,4096
ncf-8,1335,ncf,1,32768
deepspeech2-9,1386,deepspeech2,6,320
ncf-10,1437,ncf,1,32768
deepspeech2-11,1454,deepspeech2,8,320
ncf-12,1641,ncf,1,32768
ncf-13,1644,ncf,1,32768
cifar10-14,1731,cifar10,12,4096
ncf-15,1753,ncf,1,32768
cifar10-16,1855,cifar10,8,2048
ncf-17,1931,ncf,1,32768
ncf-18,1932,ncf,1,32768
cifar10-19,1937,cifar10,16,4096
ncf-20,1955,ncf,1,32768
ncf-21,2257,ncf,1,32768
ncf-22,2337,ncf,1,32768
deepspeech2-23,2701,deepspeech2,12,640
bert-24,2750,bert,6,384
bert-25,2957,bert,6,384
ncf-26,3114,ncf,1,32768
cifar10-27,3143,cifar10,6,2048
cifar10-28,3159,cifar10,16,4096
cifar10-29,3189,cifar10,6,2048
cifar10-30,3254,cifar10,6,2048
yolov3-31,3387,yolov3,4,64
ncf-32,3658,ncf,1,32768
cifar10-33,3686,cifar10,6,2048
cifar10-34,3701,cifar10,6,2048
ncf-35,3789,ncf,1,32768
ncf-36,3892,ncf,1,32768
ncf-37,4015,ncf,1,32768
deepspeech2-38,4025,deepspeech2,6,320
cifar10-39,4096,cifar10,6,2048
ncf-40,4232,ncf,1,32768
ncf-41,4252,ncf,1,32768
ncf-42,4305,ncf,1,32768
cifar10-43,4680,cifar10,8,2048
cifar10-44,4966,cifar10,6,2048
cifar10-45,4993,cifar10,8,2048
ncf-46,5100,ncf,1,32768
ncf-47,5125,ncf,1,32768
yolov3-48,5439,yolov3,4,64
ncf-49,5445,ncf,1,32768
cifar10-50,5533,cifar10,12,4096
cifar10-51,5693,cifar10,6,2048
ncf-52,5968,ncf,1,32768
cifar10-53,6029,cifar10,12,4096
ncf-54,6047,ncf,1,32768
ncf-55,6117,ncf,1,32768
deepspeech2-56,6211,deepspeech2,12,640
deepspeech2-57,6570,deepspeech2,8,320
cifar10-58,6585,cifar10,16,4096
ncf-59,6732,ncf,1,32768
cifar10-60,7065,cifar10,6,2048
cifar10-61,7070,cifar10,12,4096
ncf-62,7188,ncf,1,32768
ncf-63,7331,ncf,1,32768
ncf-64,7332,ncf,1,32768
ncf-65,7736,ncf,1,32768
cifar10-66,8074,cifar10,6,2048
deepspeech2-67,8268,deepspeech2,6,320
cifar10-68,8517,cifar10,8,2048
cifar10-69,8635,cifar10,16,4096
ncf-70,8812,ncf,1,32768
ncf-71,9115,ncf,1,32768
bert-72,9331,bert,16,384
cifar10-73,10039,cifar10,8,2048
cifar10-74,10052,cifar10,12,4096
ncf-75,10315,ncf,1,32768
cifar10-76,10577,cifar10,16,4096
cifar10-77,10666,cifar10,6,2048
ncf-78,10769,ncf,1,32768
yolov3-79,10785,yolov3,4,64
cifar10-80,10915,cifar10,6,2048
cifar10-81,10917,cifar10,8,2048
deepspeech2-82,11222,deepspeech2,6,320
ncf-83,11281,ncf,1,32768
yolov3-84,11314,yolov3,4,64
yolov3-85,11487,yolov3,4,64
ncf-86,11531,ncf,1,32768
yolov3-87,11554,yolov3,4,64
ncf-88,11582,ncf,1,32768
cifar10-89,11646,cifar10,16,4096
cifar10-90,11929,cifar10,6,2048
cifar10-91,12117,cifar10,12,4096
cifar10-92,12159,cifar10,12,4096
yolov3-93,12282,yolov3,4,64
ncf-94,12581,ncf,1,32768
cifar10-95,12660,cifar10,8,2048
ncf-96,13008,ncf,1,32768
ncf-97,13071,ncf,1,32768
ncf-98,13118,ncf,1,32768
ncf-99,13163,ncf,1,32768
ncf-100,13307,ncf,1,32768
deepspeech2-101,13358,deepspeech2,8,320
deepspeech2-102,13449,deepspeech2,12,640
ncf-103,13458,ncf,1,32768
ncf-104,13497,ncf,1,32768
cifar10-105,13506,cifar10,16,4096
ncf-106,13632,ncf,1,32768
ncf-107,13674,ncf,1,32768
cifar10-108,13712,cifar10,12,4096
ncf-109,13793,ncf,1,32768
cifar10-110,13829,cifar10,8,2048
ncf-111,13915,ncf,1,32768
ncf-112,13958,ncf,1,32768
cifar10-113,13959,cifar10,16,4096
cifar10-114,14020,cifar10,16,4096
cifar10-115,14041,cifar10,12,4096
cifar10-116,14059,cifar10,12,4096
ncf-117,14094,ncf,1,32768
cifar10-118,14141,cifar10,8,2048
cifar10-119,14159,cifar10,16,4096
ncf-120,14166,ncf,1,32768
cifar10-121,14172,cifar10,12,4096
ncf-122,14322,ncf,1,32768
cifar10-123,14400,cifar10,16,4096
bert-124,14426,bert,12,384
ncf-125,14477,ncf,1,32768
cifar10-126,14478,cifar10,12,4096
ncf-127,14515,ncf,1,32768
ncf-128,14516,ncf,1,32768
ncf-129,14532,ncf,1,32768
ncf-130,14536,ncf,1,32768
ncf-131,14671,ncf,1,32768
bert-132,14711,bert,6,384
deepspeech2-133,14766,deepspeech2,12,640
cifar10-134,14854,cifar10,8,2048
cifar10-135,14906,cifar10,6,2048
cifar10-136,14926,cifar10,6,2048
bert-137,15016,bert,16,384
deepspeech2-138,15048,deepspeech2,12,640
deepspeech2-139,15057,deepspeech2,12,640
yolov3-140,15127,yolov3,4,64
ncf-141,15198,ncf,1,32768
yolov3-142,15318,yolov3,4,64
yolov3-143,15569,yolov3,4,64
ncf-144,15732,ncf,1,32768
imagenet-145,16082,imagenet,48,6400
ncf-146,16115,ncf,1,32768
cifar10-147,16381,cifar10,16,4096
ncf-148,16581,ncf,1,32768
yolov3-149,16667,yolov3,4,64
cifar10-150,16914,cifar10,6,2048
