name,time,application,num_replicas,batch_size
cifar10-0,70,cifar10,8,2048
ncf-1,130,ncf,1,32768
imagenet-2,211,imagenet,24,3200
bert-3,259,bert,6,384
ncf-4,285,ncf,1,32768
cifar10-5,289,cifar10,6,2048
cifar10-6,447,cifar10,16,4096
yolov3-7,460,yolov3,4,64
deepspeech2-8,543,deepspeech2,8,320
cifar10-9,827,cifar10,12,4096
cifar10-10,875,cifar10,8,2048
yolov3-11,1052,yolov3,4,64
ncf-12,1107,ncf,1,32768
cifar10-13,1194,cifar10,16,4096
cifar10-14,1314,cifar10,16,4096
ncf-15,1332,ncf,1,32768
ncf-16,1403,ncf,1,32768
ncf-17,1543,ncf,1,32768
ncf-18,1648,ncf,1,32768
ncf-19,1760,ncf,1,32768
ncf-20,1797,ncf,1,32768
ncf-21,1873,ncf,1,32768
cifar10-22,1915,cifar10,8,2048
ncf-23,1916,ncf,1,32768
cifar10-24,1917,cifar10,16,4096
imagenet-25,2245,imagenet,48,6400
cifar10-26,2353,cifar10,16,4096
cifar10-27,2410,cifar10,8,2048
ncf-28,3050,ncf,1,32768
cifar10-29,3087,cifar10,12,4096
cifar10-30,3131,cifar10,8,2048
yolov3-31,3172,yolov3,4,64
cifar10-32,3178,cifar10,12,4096
cifar10-33,3261,cifar10,12,4096
ncf-34,3651,ncf,1,32768
cifar10-35,3692,cifar10,8,2048
ncf-36,3728,ncf,1,32768
cifar10-37,3998,cifar10,12,4096
ncf-38,4083,ncf,1,32768
ncf-39,4192,ncf,1,32768
cifar10-40,4252,cifar10,16,4096
cifar10-41,4276,cifar10,6,2048
cifar10-42,4285,cifar10,16,4096
cifar10-43,4501,cifar10,6,2048
ncf-44,4613,ncf,1,32768
ncf-45,4815,ncf,1,32768
cifar10-46,4919,cifar10,12,4096
ncf-47,4931,ncf,1,32768
cifar10-48,4951,cifar10,16,4096
cifar10-49,5222,cifar10,8,2048
ncf-50,5268,ncf,1,32768
cifar10-51,5334,cifar10,12,4096
cifar10-52,5427,cifar10,12,4096
ncf-53,5515,ncf,1,32768
cifar10-54,5531,cifar10,8,2048
cifar10-55,5573,cifar10,8,2048
deepspeech2-56,5632,deepspeech2,6,320
ncf-57,5729,ncf,1,32768
cifar10-58,5801,cifar10,6,2048
ncf-59,6029,ncf,1,32768
cifar10-60,6117,cifar10,8,2048
ncf-61,6257,ncf,1,32768
ncf-62,6273,ncf,1,32768
ncf-63,6296,ncf,1,32768
deepspeech2-64,6379,deepspeech2,12,640
cifar10-65,6668,cifar10,6,2048
cifar10-66,6739,cifar10,12,4096
ncf-67,6747,ncf,1,32768
cifar10-68,6784,cifar10,6,2048
cifar10-69,7062,cifar10,8,2048
imagenet-70,7161,imagenet,32,6400
yolov3-71,7547,yolov3,4,64
yolov3-72,7571,yolov3,4,64
ncf-73,7623,ncf,1,32768
ncf-74,7908,ncf,1,32768
cifar10-75,7922,cifar10,12,4096
cifar10-76,7932,cifar10,12,4096
ncf-77,8270,ncf,1,32768
bert-78,8293,bert,16,384
cifar10-79,8374,cifar10,6,2048
cifar10-80,8444,cifar10,12,4096
ncf-81,8916,ncf,1,32768
ncf-82,9117,ncf,1,32768
cifar10-83,9152,cifar10,12,4096
yolov3-84,9226,yolov3,4,64
ncf-85,9358,ncf,1,32768
cifar10-86,9684,cifar10,6,2048
ncf-87,10073,ncf,1,32768
cifar10-88,10315,cifar10,12,4096
cifar10-89,10578,cifar10,12,4096
ncf-90,10915,ncf,1,32768
ncf-91,10916,ncf,1,32768
cifar10-92,10916,cifar10,6,2048
yolov3-93,10930,yolov3,4,64
cifar10-94,10932,cifar10,6,2048
ncf-95,10932,ncf,1,32768
ncf-96,10989,ncf,1,32768
ncf-97,11078,ncf,1,32768
cifar10-98,11114,cifar10,6,2048
ncf-99,11188,ncf,1,32768
bert-100,11248,bert,6,384
cifar10-101,11288,cifar10,6,2048
cifar10-102,11300,cifar10,8,2048
cifar10-103,11333,cifar10,6,2048
yolov3-104,11350,yolov3,4,64
ncf-105,11354,ncf,1,32768
imagenet-106,11592,imagenet,24,3200
deepspeech2-107,11769,deepspeech2,8,320
deepspeech2-108,11905,deepspeech2,6,320
cifar10-109,12106,cifar10,16,4096
ncf-110,12180,ncf,1,32768
bert-111,12291,bert,6,384
bert-112,13021,bert,8,384
deepspeech2-113,13098,deepspeech2,12,640
ncf-114,13354,ncf,1,32768
ncf-115,13360,ncf,1,32768
ncf-116,13378,ncf,1,32768
cifar10-117,13445,cifar10,8,2048
cifar10-118,13468,cifar10,8,2048
ncf-119,13506,ncf,1,32768
cifar10-120,13515,cifar10,16,4096
cifar10-121,13532,cifar10,8,2048
ncf-122,13568,ncf,1,32768
bert-123,13616,bert,16,384
cifar10-124,13651,cifar10,12,4096
cifar10-125,13669,cifar10,8,2048
deepspeech2-126,13747,deepspeech2,12,640
cifar10-127,14156,cifar10,6,2048
ncf-128,14213,ncf,1,32768
cifar10-129,14228,cifar10,12,4096
ncf-130,14372,ncf,1,32768
cifar10-131,14425,cifar10,16,4096
ncf-132,14426,ncf,1,32768
cifar10-133,14459,cifar10,16,4096
ncf-134,14475,ncf,1,32768
ncf-135,14515,ncf,1,32768
cifar10-136,14550,cifar10,8,2048
cifar10-137,14718,cifar10,6,2048
ncf-138,14731,ncf,1,32768
ncf-139,14855,ncf,1,32768
ncf-140,15131,ncf,1,32768
deepspeech2-141,15170,deepspeech2,8,320
cifar10-142,15311,cifar10,12,4096
cifar10-143,15460,cifar10,16,4096
ncf-144,15550,ncf,1,32768
ncf-145,15557,ncf,1,32768
ncf-146,15590,ncf,1,32768
cifar10-147,15616,cifar10,12,4096
cifar10-148,15730,cifar10,12,4096
ncf-149,15780,ncf,1,32768
ncf-150,15799,ncf,1,32768
deepspeech2-151,15807,deepspeech2,12,640
yolov3-152,16012,yolov3,4,64
yolov3-153,16181,yolov3,4,64
ncf-154,16245,ncf,1,32768
ncf-155,16346,ncf,1,32768
cifar10-156,16430,cifar10,12,4096
ncf-157,17026,ncf,1,32768
ncf-158,17035,ncf,1,32768
ncf-159,17414,ncf,1,32768
ncf-160,17515,ncf,1,32768
ncf-161,17565,ncf,1,32768
cifar10-162,17729,cifar10,12,4096
bert-163,17758,bert,8,384
ncf-164,17801,ncf,1,32768
deepspeech2-165,17829,deepspeech2,6,320
cifar10-166,17838,cifar10,8,2048
cifar10-167,17898,cifar10,6,2048
deepspeech2-168,17904,deepspeech2,12,640
bert-169,17942,bert,6,384
bert-170,17986,bert,16,384
ncf-171,18058,ncf,1,32768
bert-172,18071,bert,8,384
ncf-173,18105,ncf,1,32768
deepspeech2-174,18149,deepspeech2,12,640
cifar10-175,18202,cifar10,12,4096
cifar10-176,18206,cifar10,8,2048
ncf-177,18225,ncf,1,32768
cifar10-178,18246,cifar10,16,4096
ncf-179,18391,ncf,1,32768
deepspeech2-180,18461,deepspeech2,6,320
ncf-181,18519,ncf,1,32768
deepspeech2-182,18616,deepspeech2,12,640
bert-183,18618,bert,6,384
cifar10-184,18624,cifar10,16,4096
ncf-185,18705,ncf,1,32768
ncf-186,18719,ncf,1,32768
ncf-187,18732,ncf,1,32768
cifar10-188,18740,cifar10,6,2048
cifar10-189,18771,cifar10,12,4096
cifar10-190,18810,cifar10,16,4096
ncf-191,18818,ncf,1,32768
ncf-192,18844,ncf,1,32768
ncf-193,18870,ncf,1,32768
ncf-194,18870,ncf,1,32768
cifar10-195,18942,cifar10,12,4096
ncf-196,18964,ncf,1,32768
ncf-197,19009,ncf,1,32768
ncf-198,19029,ncf,1,32768
ncf-199,19052,ncf,1,32768
deepspeech2-200,19145,deepspeech2,12,640
ncf-201,19160,ncf,1,32768
ncf-202,19213,ncf,1,32768
cifar10-203,19214,cifar10,6,2048
bert-204,19250,bert,16,384
deepspeech2-205,19267,deepspeech2,8,320
cifar10-206,19332,cifar10,6,2048
imagenet-207,19368,imagenet,24,3200
ncf-208,19382,ncf,1,32768
cifar10-209,19385,cifar10,6,2048
cifar10-210,19472,cifar10,12,4096
cifar10-211,19646,cifar10,8,2048
ncf-212,19698,ncf,1,32768
bert-213,19770,bert,12,384
cifar10-214,19887,cifar10,12,4096
cifar10-215,19932,cifar10,16,4096
cifar10-216,19946,cifar10,6,2048
cifar10-217,20027,cifar10,12,4096
ncf-218,20043,ncf,1,32768
bert-219,20048,bert,16,384
cifar10-220,20056,cifar10,12,4096
cifar10-221,20057,cifar10,8,2048
deepspeech2-222,20103,deepspeech2,12,640
deepspeech2-223,20147,deepspeech2,8,320
cifar10-224,20197,cifar10,6,2048
cifar10-225,20259,cifar10,12,4096
cifar10-226,20369,cifar10,16,4096
cifar10-227,20379,cifar10,12,4096
ncf-228,20387,ncf,1,32768
ncf-229,20454,ncf,1,32768
cifar10-230,20502,cifar10,8,2048
deepspeech2-231,20518,deepspeech2,8,320
cifar10-232,20550,cifar10,16,4096
ncf-233,20550,ncf,1,32768
ncf-234,20555,ncf,1,32768
cifar10-235,20557,cifar10,6,2048
bert-236,20572,bert,6,384
