name,time,application,num_replicas,batch_size
cifar10-0,53,cifar10,6,2048
cifar10-1,105,cifar10,8,2048
cifar10-2,154,cifar10,6,2048
deepspeech2-3,326,deepspeech2,8,320
cifar10-4,368,cifar10,16,4096
ncf-5,386,ncf,1,32768
ncf-6,409,ncf,1,32768
bert-7,735,bert,8,384
deepspeech2-8,812,deepspeech2,6,320
cifar10-9,1260,cifar10,12,4096
deepspeech2-10,1286,deepspeech2,12,640
cifar10-11,1315,cifar10,12,4096
cifar10-12,1500,cifar10,12,4096
ncf-13,1549,ncf,1,32768
cifar10-14,1564,cifar10,12,4096
ncf-15,1585,ncf,1,32768
ncf-16,1635,ncf,1,32768
ncf-17,1651,ncf,1,32768
ncf-18,1817,ncf,1,32768
cifar10-19,1907,cifar10,12,4096
cifar10-20,1916,cifar10,6,2048
ncf-21,1916,ncf,1,32768
ncf-22,1924,ncf,1,32768
cifar10-23,1930,cifar10,6,2048
ncf-24,1934,ncf,1,32768
cifar10-25,1935,cifar10,6,2048
cifar10-26,2216,cifar10,8,2048
ncf-27,2275,ncf,1,32768
bert-28,2438,bert,6,384
cifar10-29,2518,cifar10,6,2048
ncf-30,2535,ncf,1,32768
deepspeech2-31,2575,deepspeech2,8,320
bert-32,2735,bert,16,384
imagenet-33,2810,imagenet,24,3200
ncf-34,2850,ncf,1,32768
cifar10-35,3006,cifar10,8,2048
cifar10-36,3073,cifar10,8,2048
cifar10-37,3107,cifar10,8,2048
ncf-38,3133,ncf,1,32768
cifar10-39,3168,cifar10,12,4096
cifar10-40,3181,cifar10,12,4096
deepspeech2-41,3223,deepspeech2,6,320
ncf-42,3403,ncf,1,32768
cifar10-43,3455,cifar10,16,4096
imagenet-44,3472,imagenet,24,3200
deepspeech2-45,3557,deepspeech2,6,320
cifar10-46,3621,cifar10,8,2048
cifar10-47,3687,cifar10,16,4096
ncf-48,3715,ncf,1,32768
cifar10-49,3733,cifar10,12,4096
cifar10-50,4003,cifar10,12,4096
cifar10-51,4007,cifar10,8,2048
ncf-52,4078,ncf,1,32768
ncf-53,4092,ncf,1,32768
cifar10-54,4101,cifar10,16,4096
ncf-55,4267,ncf,1,32768
cifar10-56,4296,cifar10,16,4096
cifar10-57,4330,cifar10,6,2048
yolov3-58,4334,yolov3,4,64
ncf-59,4917,ncf,1,32768
ncf-60,4948,ncf,1,32768
ncf-61,4949,ncf,1,32768
cifar10-62,4955,cifar10,16,4096
cifar10-63,5172,cifar10,12,4096
cifar10-64,5263,cifar10,16,4096
cifar10-65,5277,cifar10,12,4096
cifar10-66,5285,cifar10,6,2048
ncf-67,6115,ncf,1,32768
cifar10-68,6136,cifar10,16,4096
ncf-69,6263,ncf,1,32768
ncf-70,6324,ncf,1,32768
cifar10-71,6361,cifar10,6,2048
deepspeech2-72,6406,deepspeech2,8,320
ncf-73,6731,ncf,1,32768
cifar10-74,6779,cifar10,12,4096
ncf-75,6897,ncf,1,32768
cifar10-76,7752,cifar10,8,2048
cifar10-77,8190,cifar10,16,4096
ncf-78,8275,ncf,1,32768
