name,time,application,num_replicas,batch_size
cifar10-0,16,cifar10,12,4096
yolov3-1,167,yolov3,4,64
cifar10-2,181,cifar10,12,4096
cifar10-3,582,cifar10,12,4096
bert-4,1133,bert,16,384
ncf-5,1286,ncf,1,32768
cifar10-6,1296,cifar10,16,4096
cifar10-7,1433,cifar10,6,2048
ncf-8,1506,ncf,1,32768
ncf-9,1621,ncf,1,32768
ncf-10,1812,ncf,1,32768
ncf-11,2041,ncf,1,32768
ncf-12,2070,ncf,1,32768
imagenet-13,2260,imagenet,24,3200
cifar10-14,2590,cifar10,8,2048
cifar10-15,2856,cifar10,6,2048
cifar10-16,3317,cifar10,6,2048
ncf-17,3464,ncf,1,32768
cifar10-18,3659,cifar10,12,4096
imagenet-19,3942,imagenet,48,6400
cifar10-20,4021,cifar10,16,4096
cifar10-21,4050,cifar10,16,4096
cifar10-22,4170,cifar10,16,4096
cifar10-23,4199,cifar10,8,2048
cifar10-24,4263,cifar10,6,2048
ncf-25,4292,ncf,1,32768
cifar10-26,4384,cifar10,8,2048
ncf-27,4404,ncf,1,32768
ncf-28,4513,ncf,1,32768
ncf-29,4646,ncf,1,32768
ncf-30,4892,ncf,1,32768
cifar10-31,4930,cifar10,16,4096
yolov3-32,5169,yolov3,4,64
cifar10-33,5202,cifar10,6,2048
ncf-34,5367,ncf,1,32768
cifar10-35,5533,cifar10,8,2048
deepspeech2-36,5892,deepspeech2,6,320
cifar10-37,7070,cifar10,16,4096
bert-38,7152,bert,8,384
cifar10-39,7271,cifar10,8,2048
cifar10-40,7713,cifar10,6,2048
ncf-41,8183,ncf,1,32768
cifar10-42,8526,cifar10,6,2048
cifar10-43,8880,cifar10,8,2048
cifar10-44,8943,cifar10,6,2048
cifar10-45,9115,cifar10,8,2048
ncf-46,9164,ncf,1,32768
ncf-47,9303,ncf,1,32768
ncf-48,9309,ncf,1,32768
yolov3-49,9442,yolov3,4,64
cifar10-50,9733,cifar10,6,2048
ncf-51,10158,ncf,1,32768
ncf-52,10333,ncf,1,32768
yolov3-53,10408,yolov3,4,64
bert-54,10465,bert,16,384
ncf-55,10603,ncf,1,32768
ncf-56,10996,ncf,1,32768
ncf-57,11061,ncf,1,32768
ncf-58,11161,ncf,1,32768
cifar10-59,11346,cifar10,8,2048
ncf-60,12252,ncf,1,32768
cifar10-61,12518,cifar10,6,2048
cifar10-62,12543,cifar10,12,4096
ncf-63,12717,ncf,1,32768
ncf-64,12732,ncf,1,32768
deepspeech2-65,12849,deepspeech2,6,320
ncf-66,13413,ncf,1,32768
cifar10-67,13666,cifar10,16,4096
ncf-68,13742,ncf,1,32768
cifar10-69,13915,cifar10,6,2048
cifar10-70,14230,cifar10,6,2048
ncf-71,14464,ncf,1,32768
ncf-72,14531,ncf,1,32768
ncf-73,14773,ncf,1,32768
cifar10-74,14812,cifar10,16,4096
ncf-75,14925,ncf,1,32768
cifar10-76,15016,cifar10,16,4096
yolov3-77,15148,yolov3,4,64
imagenet-78,15159,imagenet,48,6400
cifar10-79,15242,cifar10,6,2048
ncf-80,15629,ncf,1,32768
ncf-81,15674,ncf,1,32768
ncf-82,15814,ncf,1,32768
ncf-83,15881,ncf,1,32768
ncf-84,15890,ncf,1,32768
