name,time,application,num_replicas,batch_size
cifar10-0,53,cifar10,6,2048
cifar10-1,154,cifar10,6,2048
deepspeech2-2,326,deepspeech2,8,320
cifar10-3,368,cifar10,16,4096
bert-4,735,bert,8,384
cifar10-5,1315,cifar10,12,4096
ncf-6,1585,ncf,1,32768
ncf-7,1817,ncf,1,32768
cifar10-8,1916,cifar10,6,2048
ncf-9,1924,ncf,1,32768
bert-10,2438,bert,6,384
cifar10-11,2518,cifar10,6,2048
ncf-12,2535,ncf,1,32768
bert-13,2735,bert,16,384
ncf-14,2850,ncf,1,32768
cifar10-15,3073,cifar10,8,2048
cifar10-16,3107,cifar10,8,2048
ncf-17,3403,ncf,1,32768
imagenet-18,3472,imagenet,24,3200
cifar10-19,3687,cifar10,16,4096
cifar10-20,3733,cifar10,12,4096
cifar10-21,4003,cifar10,12,4096
cifar10-22,4007,cifar10,8,2048
ncf-23,4078,ncf,1,32768
cifar10-24,4101,cifar10,16,4096
ncf-25,4948,ncf,1,32768
ncf-26,4949,ncf,1,32768
cifar10-27,4955,cifar10,16,4096
cifar10-28,5172,cifar10,12,4096
cifar10-29,5277,cifar10,12,4096
cifar10-30,5285,cifar10,6,2048
cifar10-31,6136,cifar10,16,4096
ncf-32,6324,ncf,1,32768
deepspeech2-33,6406,deepspeech2,8,320
ncf-34,6731,ncf,1,32768
ncf-35,6897,ncf,1,32768
cifar10-36,7752,cifar10,8,2048
cifar10-37,8287,cifar10,6,2048
cifar10-38,8444,cifar10,6,2048
ncf-39,8532,ncf,1,32768
cifar10-40,8614,cifar10,16,4096
yolov3-41,9226,yolov3,4,64
yolov3-42,9550,yolov3,4,64
yolov3-43,9612,yolov3,4,64
ncf-44,9732,ncf,1,32768
ncf-45,9876,ncf,1,32768
bert-46,10151,bert,6,384
ncf-47,10318,ncf,1,32768
ncf-48,10319,ncf,1,32768
ncf-49,11033,ncf,1,32768
bert-50,11256,bert,6,384
deepspeech2-51,11288,deepspeech2,6,320
bert-52,11292,bert,6,384
cifar10-53,11446,cifar10,8,2048
deepspeech2-54,11491,deepspeech2,12,640
cifar10-55,11515,cifar10,6,2048
deepspeech2-56,11852,deepspeech2,12,640
ncf-57,12204,ncf,1,32768
ncf-58,12558,ncf,1,32768
cifar10-59,12866,cifar10,6,2048
cifar10-60,12938,cifar10,8,2048
cifar10-61,14331,cifar10,16,4096
cifar10-62,14377,cifar10,6,2048
cifar10-63,14377,cifar10,6,2048
bert-64,14708,bert,6,384
cifar10-65,14817,cifar10,8,2048
ncf-66,15115,ncf,1,32768
ncf-67,15563,ncf,1,32768
cifar10-68,15879,cifar10,8,2048
cifar10-69,16110,cifar10,12,4096
ncf-70,16319,ncf,1,32768
cifar10-71,16331,cifar10,16,4096
ncf-72,16437,ncf,1,32768
ncf-73,16560,ncf,1,32768
ncf-74,16585,ncf,1,32768
cifar10-75,16925,cifar10,6,2048
bert-76,16946,bert,6,384
cifar10-77,16957,cifar10,16,4096
bert-78,17490,bert,12,384
ncf-79,17515,ncf,1,32768
deepspeech2-80,17628,deepspeech2,8,320
imagenet-81,18010,imagenet,32,6400
cifar10-82,18159,cifar10,6,2048
ncf-83,18289,ncf,1,32768
ncf-84,18391,ncf,1,32768
cifar10-85,18510,cifar10,8,2048
deepspeech2-86,18699,deepspeech2,12,640
ncf-87,18780,ncf,1,32768
ncf-88,18785,ncf,1,32768
ncf-89,18806,ncf,1,32768
cifar10-90,18877,cifar10,6,2048
deepspeech2-91,19165,deepspeech2,6,320
ncf-92,19202,ncf,1,32768
deepspeech2-93,19239,deepspeech2,6,320
cifar10-94,19306,cifar10,12,4096
cifar10-95,19316,cifar10,8,2048
ncf-96,19332,ncf,1,32768
ncf-97,19335,ncf,1,32768
cifar10-98,19393,cifar10,16,4096
bert-99,19414,bert,8,384
ncf-100,19450,ncf,1,32768
bert-101,19689,bert,8,384
cifar10-102,20051,cifar10,6,2048
deepspeech2-103,20103,deepspeech2,8,320
cifar10-104,20139,cifar10,6,2048
cifar10-105,20269,cifar10,8,2048
cifar10-106,20313,cifar10,6,2048
cifar10-107,20463,cifar10,12,4096
deepspeech2-108,20574,deepspeech2,8,320
bert-109,20613,bert,12,384
cifar10-110,20643,cifar10,8,2048
cifar10-111,20665,cifar10,16,4096
ncf-112,20669,ncf,1,32768
ncf-113,20703,ncf,1,32768
cifar10-114,20726,cifar10,16,4096
ncf-115,20851,ncf,1,32768
ncf-116,21008,ncf,1,32768
cifar10-117,21017,cifar10,6,2048
cifar10-118,21061,cifar10,16,4096
deepspeech2-119,21157,deepspeech2,8,320
cifar10-120,21190,cifar10,16,4096
cifar10-121,21209,cifar10,12,4096
ncf-122,21433,ncf,1,32768
ncf-123,21686,ncf,1,32768
cifar10-124,21706,cifar10,16,4096
cifar10-125,21738,cifar10,12,4096
cifar10-126,21776,cifar10,6,2048
yolov3-127,21835,yolov3,4,64
cifar10-128,21886,cifar10,12,4096
cifar10-129,22332,cifar10,12,4096
bert-130,22769,bert,16,384
deepspeech2-131,22783,deepspeech2,8,320
cifar10-132,23032,cifar10,8,2048
ncf-133,23040,ncf,1,32768
