name,time,application,num_replicas,batch_size
ncf-0,35,ncf,1,32768
yolov3-1,520,yolov3,4,64
ncf-2,1198,ncf,1,32768
bert-3,1270,bert,12,384
deepspeech2-4,1303,deepspeech2,8,320
ncf-5,1497,ncf,1,32768
cifar10-6,1519,cifar10,12,4096
ncf-7,1619,ncf,1,32768
ncf-8,1858,ncf,1,32768
ncf-9,2017,ncf,1,32768
cifar10-10,2254,cifar10,6,2048
ncf-11,2749,ncf,1,32768
cifar10-12,2911,cifar10,16,4096
ncf-13,3134,ncf,1,32768
cifar10-14,3208,cifar10,12,4096
ncf-15,3421,ncf,1,32768
ncf-16,3565,ncf,1,32768
cifar10-17,3732,cifar10,12,4096
cifar10-18,4316,cifar10,16,4096
cifar10-19,4692,cifar10,6,2048
cifar10-20,4702,cifar10,16,4096
ncf-21,5256,ncf,1,32768
ncf-22,5430,ncf,1,32768
cifar10-23,5500,cifar10,12,4096
ncf-24,5611,ncf,1,32768
cifar10-25,5707,cifar10,8,2048
imagenet-26,5774,imagenet,48,6400
cifar10-27,5801,cifar10,12,4096
ncf-28,5854,ncf,1,32768
cifar10-29,5884,cifar10,6,2048
ncf-30,7110,ncf,1,32768
cifar10-31,7347,cifar10,8,2048
yolov3-32,7562,yolov3,4,64
ncf-33,7626,ncf,1,32768
deepspeech2-34,7858,deepspeech2,6,320
ncf-35,7906,ncf,1,32768
yolov3-36,8037,yolov3,4,64
cifar10-37,8313,cifar10,8,2048
ncf-38,9268,ncf,1,32768
ncf-39,9311,ncf,1,32768
yolov3-40,9391,yolov3,4,64
ncf-41,9513,ncf,1,32768
ncf-42,9582,ncf,1,32768
ncf-43,9612,ncf,1,32768
ncf-44,9715,ncf,1,32768
cifar10-45,10317,cifar10,8,2048
cifar10-46,10392,cifar10,12,4096
cifar10-47,10660,cifar10,16,4096
cifar10-48,10737,cifar10,16,4096
cifar10-49,10859,cifar10,16,4096
ncf-50,11060,ncf,1,32768
cifar10-51,11782,cifar10,8,2048
deepspeech2-52,12205,deepspeech2,6,320
ncf-53,12379,ncf,1,32768
