name,time,application,num_replicas,batch_size
cifar10-0,16,cifar10,12,4096
yolov3-1,167,yolov3,4,64
cifar10-2,181,cifar10,12,4096
cifar10-3,582,cifar10,12,4096
cifar10-4,585,cifar10,6,2048
bert-5,728,bert,12,384
bert-6,1133,bert,16,384
deepspeech2-7,1234,deepspeech2,12,640
ncf-8,1286,ncf,1,32768
cifar10-9,1296,cifar10,16,4096
cifar10-10,1433,cifar10,6,2048
cifar10-11,1468,cifar10,8,2048
ncf-12,1506,ncf,1,32768
ncf-13,1621,ncf,1,32768
yolov3-14,1672,yolov3,4,64
ncf-15,1688,ncf,1,32768
ncf-16,1812,ncf,1,32768
ncf-17,2041,ncf,1,32768
ncf-18,2070,ncf,1,32768
imagenet-19,2260,imagenet,24,3200
cifar10-20,2268,cifar10,6,2048
cifar10-21,2410,cifar10,16,4096
cifar10-22,2530,cifar10,16,4096
cifar10-23,2590,cifar10,8,2048
ncf-24,2702,ncf,1,32768
cifar10-25,2856,cifar10,6,2048
ncf-26,3116,ncf,1,32768
deepspeech2-27,3237,deepspeech2,8,320
cifar10-28,3317,cifar10,6,2048
ncf-29,3464,ncf,1,32768
cifar10-30,3659,cifar10,12,4096
imagenet-31,3942,imagenet,48,6400
cifar10-32,4021,cifar10,16,4096
cifar10-33,4050,cifar10,16,4096
cifar10-34,4170,cifar10,16,4096
cifar10-35,4199,cifar10,8,2048
cifar10-36,4230,cifar10,8,2048
cifar10-37,4263,cifar10,6,2048
ncf-38,4292,ncf,1,32768
yolov3-39,4334,yolov3,4,64
cifar10-40,4384,cifar10,8,2048
ncf-41,4404,ncf,1,32768
ncf-42,4513,ncf,1,32768
ncf-43,4646,ncf,1,32768
ncf-44,4892,ncf,1,32768
cifar10-45,4930,cifar10,16,4096
bert-46,4938,bert,8,384
yolov3-47,5169,yolov3,4,64
cifar10-48,5202,cifar10,6,2048
cifar10-49,5206,cifar10,8,2048
ncf-50,5367,ncf,1,32768
ncf-51,5532,ncf,1,32768
cifar10-52,5533,cifar10,8,2048
deepspeech2-53,5892,deepspeech2,6,320
cifar10-54,6185,cifar10,6,2048
cifar10-55,6851,cifar10,16,4096
cifar10-56,7070,cifar10,16,4096
bert-57,7152,bert,8,384
cifar10-58,7271,cifar10,8,2048
ncf-59,7319,ncf,1,32768
cifar10-60,7713,cifar10,6,2048
ncf-61,8183,ncf,1,32768
cifar10-62,8526,cifar10,6,2048
cifar10-63,8880,cifar10,8,2048
cifar10-64,8943,cifar10,6,2048
cifar10-65,9115,cifar10,8,2048
ncf-66,9164,ncf,1,32768
ncf-67,9303,ncf,1,32768
ncf-68,9309,ncf,1,32768
cifar10-69,9372,cifar10,12,4096
yolov3-70,9442,yolov3,4,64
cifar10-71,9733,cifar10,6,2048
ncf-72,10158,ncf,1,32768
cifar10-73,10332,cifar10,12,4096
ncf-74,10333,ncf,1,32768
yolov3-75,10408,yolov3,4,64
bert-76,10465,bert,16,384
ncf-77,10603,ncf,1,32768
ncf-78,10996,ncf,1,32768
ncf-79,11061,ncf,1,32768
ncf-80,11161,ncf,1,32768
ncf-81,11215,ncf,1,32768
deepspeech2-82,11256,deepspeech2,8,320
cifar10-83,11346,cifar10,8,2048
ncf-84,11361,ncf,1,32768
