name,time,application,num_replicas,batch_size
ncf-0,29,ncf,1,32768
cifar10-1,107,cifar10,6,2048
deepspeech2-2,110,deepspeech2,6,320
ncf-3,135,ncf,1,32768
deepspeech2-4,262,deepspeech2,12,640
cifar10-5,356,cifar10,16,4096
ncf-6,383,ncf,1,32768
bert-7,543,bert,6,384
ncf-8,839,ncf,1,32768
ncf-9,1131,ncf,1,32768
ncf-10,1282,ncf,1,32768
ncf-11,1331,ncf,1,32768
cifar10-12,1332,cifar10,12,4096
ncf-13,1453,ncf,1,32768
cifar10-14,1496,cifar10,6,2048
imagenet-15,1604,imagenet,32,6400
cifar10-16,1611,cifar10,8,2048
imagenet-17,1723,imagenet,24,3200
cifar10-18,1740,cifar10,12,4096
cifar10-19,1778,cifar10,16,4096
cifar10-20,1932,cifar10,16,4096
ncf-21,2308,ncf,1,32768
cifar10-22,2354,cifar10,12,4096
ncf-23,2420,ncf,1,32768
bert-24,2577,bert,16,384
ncf-25,2615,ncf,1,32768
bert-26,2740,bert,12,384
ncf-27,2862,ncf,1,32768
cifar10-28,2925,cifar10,8,2048
cifar10-29,3378,cifar10,12,4096
ncf-30,3488,ncf,1,32768
cifar10-31,3716,cifar10,8,2048
deepspeech2-32,3917,deepspeech2,12,640
ncf-33,4277,ncf,1,32768
cifar10-34,4326,cifar10,8,2048
ncf-35,4380,ncf,1,32768
cifar10-36,4407,cifar10,12,4096
cifar10-37,4734,cifar10,6,2048
ncf-38,4757,ncf,1,32768
cifar10-39,4931,cifar10,6,2048
yolov3-40,5039,yolov3,4,64
cifar10-41,5094,cifar10,6,2048
bert-42,5813,bert,12,384
cifar10-43,5841,cifar10,8,2048
ncf-44,5880,ncf,1,32768
ncf-45,6103,ncf,1,32768
ncf-46,6324,ncf,1,32768
yolov3-47,6357,yolov3,4,64
ncf-48,6487,ncf,1,32768
ncf-49,6561,ncf,1,32768
cifar10-50,6701,cifar10,12,4096
cifar10-51,6732,cifar10,8,2048
cifar10-52,6899,cifar10,6,2048
cifar10-53,7025,cifar10,12,4096
ncf-54,7331,ncf,1,32768
ncf-55,7332,ncf,1,32768
ncf-56,7333,ncf,1,32768
ncf-57,7744,ncf,1,32768
cifar10-58,8223,cifar10,8,2048
cifar10-59,8817,cifar10,16,4096
ncf-60,8825,ncf,1,32768
ncf-61,9114,ncf,1,32768
cifar10-62,9202,cifar10,6,2048
ncf-63,9734,ncf,1,32768
cifar10-64,10069,cifar10,16,4096
ncf-65,10477,ncf,1,32768
ncf-66,10541,ncf,1,32768
cifar10-67,10648,cifar10,8,2048
ncf-68,10766,ncf,1,32768
cifar10-69,10819,cifar10,8,2048
cifar10-70,10932,cifar10,6,2048
ncf-71,11059,ncf,1,32768
cifar10-72,11207,cifar10,16,4096
ncf-73,11331,ncf,1,32768
yolov3-74,11382,yolov3,4,64
yolov3-75,11528,yolov3,4,64
cifar10-76,11566,cifar10,8,2048
bert-77,11851,bert,16,384
cifar10-78,12315,cifar10,12,4096
cifar10-79,12486,cifar10,12,4096
ncf-80,12605,ncf,1,32768
cifar10-81,12608,cifar10,16,4096
cifar10-82,12683,cifar10,16,4096
imagenet-83,12965,imagenet,32,6400
ncf-84,13223,ncf,1,32768
cifar10-85,13262,cifar10,12,4096
cifar10-86,13276,cifar10,6,2048
ncf-87,13307,ncf,1,32768
ncf-88,13608,ncf,1,32768
ncf-89,13722,ncf,1,32768
deepspeech2-90,13759,deepspeech2,6,320
ncf-91,13806,ncf,1,32768
ncf-92,13891,ncf,1,32768
