name,time,application,num_replicas,batch_size
ncf-0,130,ncf,1,32768
bert-1,259,bert,6,384
ncf-2,285,ncf,1,32768
cifar10-3,289,cifar10,6,2048
cifar10-4,447,cifar10,16,4096
yolov3-5,460,yolov3,4,64
deepspeech2-6,543,deepspeech2,8,320
ncf-7,1107,ncf,1,32768
cifar10-8,1194,cifar10,16,4096
cifar10-9,1314,cifar10,16,4096
ncf-10,1403,ncf,1,32768
ncf-11,1543,ncf,1,32768
ncf-12,1760,ncf,1,32768
ncf-13,1873,ncf,1,32768
cifar10-14,1915,cifar10,8,2048
ncf-15,1916,ncf,1,32768
cifar10-16,1917,cifar10,16,4096
imagenet-17,2245,imagenet,48,6400
cifar10-18,2353,cifar10,16,4096
cifar10-19,2410,cifar10,8,2048
ncf-20,3050,ncf,1,32768
cifar10-21,3087,cifar10,12,4096
cifar10-22,3131,cifar10,8,2048
cifar10-23,3178,cifar10,12,4096
cifar10-24,3261,cifar10,12,4096
ncf-25,3651,ncf,1,32768
cifar10-26,3692,cifar10,8,2048
ncf-27,4192,ncf,1,32768
cifar10-28,4252,cifar10,16,4096
cifar10-29,4276,cifar10,6,2048
cifar10-30,4285,cifar10,16,4096
cifar10-31,4501,cifar10,6,2048
ncf-32,4613,ncf,1,32768
ncf-33,4815,ncf,1,32768
cifar10-34,4919,cifar10,12,4096
cifar10-35,5222,cifar10,8,2048
cifar10-36,5334,cifar10,12,4096
ncf-37,5515,ncf,1,32768
cifar10-38,5531,cifar10,8,2048
ncf-39,5729,ncf,1,32768
cifar10-40,5801,cifar10,6,2048
ncf-41,6029,ncf,1,32768
cifar10-42,6117,cifar10,8,2048
ncf-43,6257,ncf,1,32768
ncf-44,6296,ncf,1,32768
deepspeech2-45,6379,deepspeech2,12,640
cifar10-46,6668,cifar10,6,2048
cifar10-47,6739,cifar10,12,4096
ncf-48,6747,ncf,1,32768
cifar10-49,6784,cifar10,6,2048
cifar10-50,7062,cifar10,8,2048
imagenet-51,7161,imagenet,32,6400
yolov3-52,7547,yolov3,4,64
yolov3-53,7571,yolov3,4,64
ncf-54,7623,ncf,1,32768
ncf-55,7908,ncf,1,32768
cifar10-56,7922,cifar10,12,4096
bert-57,8293,bert,16,384
cifar10-58,8444,cifar10,12,4096
ncf-59,8916,ncf,1,32768
cifar10-60,9152,cifar10,12,4096
ncf-61,9358,ncf,1,32768
cifar10-62,9684,cifar10,6,2048
ncf-63,10073,ncf,1,32768
cifar10-64,10578,cifar10,12,4096
ncf-65,10915,ncf,1,32768
ncf-66,10916,ncf,1,32768
cifar10-67,10916,cifar10,6,2048
yolov3-68,10930,yolov3,4,64
cifar10-69,10932,cifar10,6,2048
ncf-70,10989,ncf,1,32768
ncf-71,11078,ncf,1,32768
ncf-72,11188,ncf,1,32768
cifar10-73,11288,cifar10,6,2048
cifar10-74,11300,cifar10,8,2048
cifar10-75,11333,cifar10,6,2048
yolov3-76,11350,yolov3,4,64
ncf-77,11354,ncf,1,32768
imagenet-78,11592,imagenet,24,3200
deepspeech2-79,11769,deepspeech2,8,320
deepspeech2-80,11905,deepspeech2,6,320
ncf-81,12180,ncf,1,32768
bert-82,12291,bert,6,384
ncf-83,13354,ncf,1,32768
ncf-84,13360,ncf,1,32768
ncf-85,13378,ncf,1,32768
cifar10-86,13445,cifar10,8,2048
cifar10-87,13468,cifar10,8,2048
ncf-88,13506,ncf,1,32768
cifar10-89,13515,cifar10,16,4096
ncf-90,13568,ncf,1,32768
bert-91,13616,bert,16,384
cifar10-92,14156,cifar10,6,2048
ncf-93,14213,ncf,1,32768
cifar10-94,14228,cifar10,12,4096
ncf-95,14372,ncf,1,32768
ncf-96,14426,ncf,1,32768
cifar10-97,14459,cifar10,16,4096
cifar10-98,14550,cifar10,8,2048
ncf-99,14731,ncf,1,32768
ncf-100,14855,ncf,1,32768
deepspeech2-101,15170,deepspeech2,8,320
cifar10-102,15460,cifar10,16,4096
ncf-103,15550,ncf,1,32768
ncf-104,15557,ncf,1,32768
ncf-105,15590,ncf,1,32768
cifar10-106,15730,cifar10,12,4096
ncf-107,15799,ncf,1,32768
deepspeech2-108,15807,deepspeech2,12,640
yolov3-109,16181,yolov3,4,64
